
============================================================
 HPO: unet (20 trials x 50 epochs)
============================================================
  0%|          | 0/20 [00:00<?, ?it/s]  Ep   1/50 | loss=1.9847 | val dir=0.386 int=0.456 *
  Ep  24/50 | loss=1.4334 | val dir=0.575 int=0.504 *
  Ep  26/50 | loss=1.4275 | val dir=0.592 int=0.545 *
  Ep  30/50 | loss=1.3553 | val dir=0.610 int=0.568 *
  Ep  36/50 | loss=1.2981 | val dir=0.611 int=0.575 *
  Ep  37/50 | loss=1.2835 | val dir=0.614 int=0.548 *
  Ep  40/50 | loss=1.2625 | val dir=0.605 int=0.523
  Early stop at ep 49
Best trial: 4. Best value: 0.613699:  20%|██        | 4/20 [46:17<2:42:26, 609.18s/it]Best trial: 4. Best value: 0.613699:  25%|██▌       | 5/20 [46:17<2:32:57, 611.86s/it]  Ep   1/50 | loss=2.0902 | val dir=0.295 int=0.567 *
  Ep   2/50 | loss=1.9896 | val dir=0.363 int=0.563 *
  Ep   5/50 | loss=1.8251 | val dir=0.458 int=0.579 *
  Ep   6/50 | loss=1.7611 | val dir=0.504 int=0.611 *
  Ep   7/50 | loss=1.7142 | val dir=0.540 int=0.578 *
  Ep   8/50 | loss=1.6870 | val dir=0.544 int=0.615 *
  Ep  10/50 | loss=1.6494 | val dir=0.525 int=0.589
  Ep  16/50 | loss=1.5685 | val dir=0.551 int=0.604 *
  Ep  20/50 | loss=1.4941 | val dir=0.571 int=0.630 *
  Ep  30/50 | loss=1.3890 | val dir=0.588 int=0.590 *
  Ep  40/50 | loss=1.2960 | val dir=0.559 int=0.551
  Early stop at ep 42
Best trial: 4. Best value: 0.613699:  25%|██▌       | 5/20 [56:10<2:32:57, 611.86s/it]Best trial: 4. Best value: 0.613699:  30%|███       | 6/20 [56:10<2:21:16, 605.45s/it]  Ep   1/50 | loss=2.1036 | val dir=0.262 int=0.562 *
  Ep   2/50 | loss=1.9619 | val dir=0.301 int=0.492 *
  Ep   3/50 | loss=1.8755 | val dir=0.414 int=0.537 *
  Ep   4/50 | loss=1.7917 | val dir=0.468 int=0.559 *
  Ep   5/50 | loss=1.7281 | val dir=0.478 int=0.512 *
  Ep   7/50 | loss=1.6732 | val dir=0.511 int=0.567 *
  Ep   9/50 | loss=1.6476 | val dir=0.516 int=0.567 *
  Ep  10/50 | loss=1.6102 | val dir=0.479 int=0.473
  Ep  14/50 | loss=1.5436 | val dir=0.523 int=0.593 *
  Ep  16/50 | loss=1.4874 | val dir=0.526 int=0.555 *
  Ep  20/50 | loss=43.9114 | val dir=0.021 int=0.055
  Early stop at ep 28
Best trial: 4. Best value: 0.613699:  30%|███       | 6/20 [1:05:29<2:21:16, 605.45s/it]Best trial: 4. Best value: 0.613699:  35%|███▌      | 7/20 [1:05:29<2:07:54, 590.37s/it]  Ep   1/50 | loss=2.0923 | val dir=0.095 int=0.342 *
  Ep   3/50 | loss=2.0597 | val dir=0.144 int=0.385 *
  Ep   4/50 | loss=2.0005 | val dir=0.304 int=0.542 *
  Ep   5/50 | loss=1.9343 | val dir=0.319 int=0.559 *
  Ep   6/50 | loss=1.8866 | val dir=0.325 int=0.542 *
  Ep   9/50 | loss=1.7796 | val dir=0.449 int=0.538 *
  Ep  10/50 | loss=1.7258 | val dir=0.256 int=0.488
  Ep  12/50 | loss=1.6796 | val dir=0.471 int=0.511 *
  Ep  15/50 | loss=1.5777 | val dir=0.510 int=0.588 *
  Ep  20/50 | loss=1.5248 | val dir=0.525 int=0.586 *
  Ep  22/50 | loss=1.4989 | val dir=0.536 int=0.603 *
  Ep  25/50 | loss=1.4741 | val dir=0.552 int=0.571 *
  Ep  30/50 | loss=1.4028 | val dir=0.518 int=0.548
  Ep  31/50 | loss=1.4116 | val dir=0.562 int=0.599 *
  Ep  33/50 | loss=1.3868 | val dir=0.564 int=0.568 *
  Ep  36/50 | loss=1.3548 | val dir=0.577 int=0.605 *
  Ep  39/50 | loss=1.3302 | val dir=0.579 int=0.588 *
  Ep  40/50 | loss=1.3166 | val dir=0.562 int=0.593
  Ep  44/50 | loss=1.2933 | val dir=0.584 int=0.590 *
  Ep  50/50 | loss=1.2760 | val dir=0.578 int=0.575
